Symbol,Company Name,Current Price,DCF Price,Discount %,Premium %,Valuation Status,Sector,Industry,Timestamp
INST,"Instructure Holdings, Inc.",23.6,23.61,0.04,0.0,UNDERVALUED,Technology,Software - Application,2026-01-11T12:44:15.682067
KEFI,Keweenaw Financial Corporation,55.0,55.03,0.06,0.0,UNDERVALUED,Financial Services,Banks - Regional,2026-01-11T03:13:03.519152
PREVEST.BO,Prevest Denpro Limited,462.4,462.69,0.06,0.0,UNDERVALUED,Healthcare,Medical - Specialties,2026-01-11T11:25:25.813476
601002.SS,"Gem-Year Industrial Co.,Ltd.",5.22,5.22,0.06,0.0,UNDERVALUED,Industrials,Manufacturing - Tools & Accessories,2026-01-11T11:52:25.760975
0K1E.L,"Mid-America Apartment Communities, Inc.",136.7,136.8,0.07,0.0,UNDERVALUED,Real Estate,Real Estate - General,2026-01-11T03:34:10.257967
6458.T,Sinko Industries Ltd.,1433.0,1433.99,0.07,0.0,UNDERVALUED,Industrials,Construction,2026-01-11T12:00:44.836326
WIW,Western Asset Inflation-Linked Opportunities & Income Fund,8.6,8.61,0.08,0.0,UNDERVALUED,Financial Services,Asset Management - Income,2026-01-11T02:25:06.893052
VPK.AS,Koninklijke Vopak N.V.,39.34,39.38,0.09,0.0,UNDERVALUED,Energy,Oil & Gas Midstream,2026-01-11T03:40:23.471606
SALSTEEL.NS,S.A.L. Steel Limited,41.0,41.05,0.13,0.0,UNDERVALUED,Basic Materials,Steel,2026-01-11T11:28:11.084411
SALSTEEL.BO,S.A.L. Steel Limited,41.0,41.05,0.13,0.0,UNDERVALUED,Basic Materials,Steel,2026-01-11T11:33:59.392679
2148.HK,"Vesync Co., Ltd",5.57,5.58,0.14,0.0,UNDERVALUED,Consumer Cyclical,Specialty Retail,2026-01-11T12:43:48.772798
CNTX,Context Therapeutics Inc.,1.61,1.61,0.17,0.0,UNDERVALUED,Healthcare,Biotechnology,2026-01-11T02:31:50.471880
MRSB.ME,Mordovia Energy Retail Company Public Joint-Stock Company,0.88,0.88,0.17,0.0,UNDERVALUED,Utilities,Regulated Electric,2026-01-11T03:28:14.577630
T3T1.DE,Seven Principles AG,4.88,4.89,0.17,0.0,UNDERVALUED,Technology,Information Technology Services,2026-01-11T03:40:48.470388
TSPCF,Cleanaway Waste Management Limited,1.77,1.77,0.18,0.0,UNDERVALUED,Industrials,Waste Management,2026-01-11T03:09:40.683968
IRE.MI,Iren S.p.A.,2.67,2.67,0.19,0.0,UNDERVALUED,Utilities,Diversified Utilities,2026-01-11T03:43:16.188389
III,"Information Services Group, Inc.",5.9,5.91,0.2,0.0,UNDERVALUED,Technology,Information Technology Services,2026-01-11T02:35:21.540896
3645.TW,Taimide Tech. Inc.,53.0,53.11,0.21,0.0,UNDERVALUED,Technology,"Hardware, Equipment & Parts",2026-01-11T11:53:44.578565
BCHHF,Bucher Industries AG,444.0,445.01,0.23,0.0,UNDERVALUED,Industrials,Industrial - Machinery,2026-01-11T03:14:52.284906
8437.TWO,Dadi Early-Childhood Education Group Limited,16.45,16.49,0.23,0.0,UNDERVALUED,Consumer Defensive,Education & Training Services,2026-01-11T11:56:25.883476
002978.SZ,"Sichuan Anning Iron and Titanium Co.,Ltd.",36.68,36.79,0.29,0.0,UNDERVALUED,Basic Materials,Industrial Materials,2026-01-11T11:44:22.642134
CG.TO,Centerra Gold Inc.,21.39,21.45,0.3,0.0,UNDERVALUED,Basic Materials,Gold,2026-01-11T03:13:19.668841
002507.SZ,"Chongqing Fuling Zhacai Group Co., Ltd.",13.06,13.1,0.3,0.0,UNDERVALUED,Consumer Defensive,Packaged Foods,2026-01-11T11:42:17.002307
2328.TW,Pan-International Industrial Corp.,47.5,47.64,0.3,0.0,UNDERVALUED,Technology,"Hardware, Equipment & Parts",2026-01-11T11:54:09.502002
DIR-UN.TO,Dream Industrial Real Estate Investment Trust,13.12,13.16,0.34,0.0,UNDERVALUED,Real Estate,REIT - Industrial,2026-01-11T02:35:05.023987
1949.T,"Sumitomo Densetsu Co.,Ltd.",9700.0,9735.21,0.36,0.0,UNDERVALUED,Industrials,Engineering & Construction,2026-01-11T12:09:10.958192
003012.SZ,"Guangdong Dongpeng Holdings Co., Ltd.",6.77,6.8,0.38,0.0,UNDERVALUED,Industrials,Construction,2026-01-11T11:46:08.273704
